CPU,Core1,Core2,Core3,Core4,Core5,Core6
1.167,0,3,1,0.99,1,0
1.846,0,3.061,1.01,4.04,2,1
1.508,0,3.061,0,0,4.082,1.01
1.169,1,1.01,2,0,0,2
3.025,3,2.02,2,3,5,5
3.378,8.247,1.01,2.02,0,5.102,3.03
3.167,4,2.062,1.98,6.863,4.04,0
2.521,3.061,1.02,0,8,0,2.02
1.345,2,1.01,1,5.051,0,1
4.013,5,1.02,3.96,7,2,5.051
8.094,9.901,2.02,12.371,8.081,5.102,10.101
1.846,2,4.124,1,4,0,0
1.821,1.98,4,2.941,2.97,0.99,0.99
3.015,3,0,0,6,0,7.071
1.347,3.03,3.03,1.01,1,0,1.01
3.356,2.02,2.97,1.02,6.061,6.061,2
8.221,14,4.082,2,10.204,3.03,16.162
18.412,16.162,13.402,7,6,20.202,46.939
1.849,1.02,0,0,2,6.061,1
0.836,0,0,2,1.98,0,1.01
2.189,4,3,0,5.051,3.03,0
1.171,1.01,0,1,2,1.01,0
2.02,5.051,1.02,0,3.03,2.02,1.98
1.503,2.02,0,1.98,2,1.98,1
1.843,2,2,0,1.01,4.95,2
5.245,4.082,7.216,6,7.071,2.062,4.082
4.02,0,1.031,3,11.765,4.04,5
1.503,2,2.02,0,3,1,0
0.666,0,0,0,3.96,0,0
0.333,0,0,0,2,0,0
0.5,0,0,0,2,0,0
0.167,0,0,0,2,0,0
0.334,0,0,0,2,0.99,0
0.333,0,0,0,1,0,0
0.167,0,0,0,1.01,0,0
0.333,0,0,0,1.98,0,0
0.167,0,0,0,1.01,0,0
0.5,0,0,0,2.97,0,0
0.334,0,1,0,1.01,0,0
0.498,0,0,0,1.01,0.99,0
0.167,0,0,0,1.98,0,0
0.499,0.99,0,0,2,0,0
0.498,0,0.99,0,2,0,0
0.333,0,0,0,2,0.99,0
0.5,0,0,0,2,0,0
0.333,0,0,0,2,0,0
0.333,0.99,0,0,1.98,0,0
0.666,0,0,0,2.02,0,0
0.167,0,0,0,2.941,0,0
0.499,0,0,0.99,1.01,0,0
0.167,0,0,0,1.98,0,0
0.333,0,0.99,0,1.01,0,0
0.666,0,0,1,2,0.99,0
0.333,0,0,0,2,0,0
0.167,0,0,0,1,0,0
0.499,0,0,0,2.97,0,0
0.333,0,0,0,2,0,0
0.333,0,0,0,2,0,0
0.333,0,0,0,2,0,0
0.333,0,0,0,1.01,0,0
0.167,0,0,0,1.98,0,0
0.333,0,0,0,1.01,0.99,0
0.333,0,0,0,1.98,0,0
0.334,0,0,0,2.02,0,0
0.498,0,0,0,2.97,0,0
0.333,0,0,0,1,0,0
0.5,0,0,0,2.02,0,0
0.167,0,0,0,1,0,0
0.167,0,0.99,0,1.961,0,0
0.666,0,0,0,2,0,0
0.167,0,0,0,1.01,0,0
0.333,0,0,0,1.98,0.99,0
0.333,0,0,0,1.01,0,0
0.499,0,0.99,0,2.97,0,0
0.333,0,0,0,1.01,0.99,0
0.333,0,0,0,2.941,0,0
0.167,0,0,0,1.01,0,0
0.333,0,0,0,1.01,0,0
0.499,0,0,0,2.941,0,0
0.333,0,0,0,1.01,0.99,0
0.333,0,0,0,2.97,0,0
0.334,0,0,0,1.02,0,0
0.333,0,0,0,1.98,0,0
0.666,0,0,0,2.97,0,0
0.499,0,0,0,2,0,0
0.5,1,0,0,2,0,0
0.499,0,0,0,2.97,0,0
0.333,0,0,0,1.01,0,0
0.167,0,0,0,1.98,0,0
0.333,0,0,0,2,0.99,0
0.5,0,0,0,2,0,0
0.167,0,0,0,1.01,0,0
0.499,0,0,0,2.97,0,0
0.333,0,0,0,1,0,0
0.333,0,1,0,2,0,0
0.333,0,0.99,0,1.01,0,0
0.334,0,0,0,2,0,0
0.333,0,0,0,1.98,0.99,0
0.499,0,1,0,1.01,0,0
0.333,0,0,0,2,0,0
0.501,0,0,0,3,0,0
0.333,0,0,0,2,0,0
0.664,0,0,0,2,0,0
0.167,0,0,0,1,0,0
0.333,0,0,0,2,0,0
0.167,0,0,0,2,0,0
0.333,0,0,0,1,0,0
0.5,0,0,0,2,0,0
0.167,0,0,0,2,0,0
0.333,0,0,0,2,0.99,0
0.5,0,0.99,0,2,0,0
0.333,0,0,0,2,0,0
0.499,0,0,0,1.98,0,0
0.167,0,0,0,2,0,0
0.333,0,0,0,1.01,0,0
0.334,0,0,0,2.97,0,0
0.333,0,0,0,1.01,0,0
0.333,0,0.99,0,2,0,0
0.333,0,0,0,2,0,0
0.333,0,0,0,1.98,0,0
0.167,0,0,0,1.01,0,0
0.333,0,0,0,2,0,0
0.333,0,0.99,0,0.99,0.99,0
0.333,0,0,0,2,0,0
0.499,0,0,0,2,0,0
0.333,0,0,0,2.02,0,0
0.499,0,0,0,1.98,0,0
0.167,0,0,0,2,0,0
0.499,0.99,0,0,2,0,0
0.334,0,0,1,2,0,0
0.333,0,0,0,2,0,0
0.499,0,0,0,1.01,0,0
0.1,0,0,0,1.98,0,0
0.499,0,0,0,2,0,0
0.167,0,0,0,1.01,0,0
0.333,0,0,0,2,0,0
0.667,0,0,0,3,0,0
0.498,0,0,0,2.97,0,0
0.334,0,0.99,0,2,0,0
0.333,0,0,0,2,0.99,0
0.499,0,0,0,2,0,0
0.334,0,0,0,2.97,0,0
0.333,0,0.99,0.99,1.01,0,0
0.5,0,0,0,2,0,0
0.333,0,0,0,2,0,0
0.334,0,0,0,2,0,0
0.333,0,0,0,2,0,0
0.167,0,0,0,1.01,0,0
0.333,0,0,0,1.98,0,0
0.499,0,0,0,3,0,0
0.333,0,0,0,1.98,0,0
0.5,0,0,0,2,0,0
0.334,0,0,0,2.97,0,0
0.499,0,0,0,2,0,0
0.333,0,0,0,3,0,0
0.499,0,0,0,2,0.99,0
0.5,0,0,0,2,0,0
0.333,0,0,0,2,0,0
0.333,0,0,0,1,0,0
0.333,0,0.99,0,1.98,0,0
0.333,0,0,0,2.02,0,0
0.333,0,0,0,1.98,0,0
0.499,0,0,0,2,0,0
0.333,0,0,0,1,0,0
0.334,0,0,0,2.02,0,0
0.334,0,0,0,2.97,0,0
0.333,0,0,0,2,0,0
0.499,0,0,0,2,0,0
0.333,0,0,0,1,0,0
0.333,0,0,0,3,0,0
0.334,0,0,0,2,0,0
0.333,0,0,0,2,0,0
0.499,0,1.98,0,1.98,0.99,0
0.166,0,0,0,0,0,0
0.167,0,0.99,0,1.01,0,0
0.333,0,0,0,2.97,0,0
0.499,0,0,0,2,0.99,0
0.333,0,0,0,2,0,0
0.167,0,0,0,1,0,0
0.333,0,0,0,2,0.99,0
0.499,0,0,0,2,0,0
0.5,0,0,0,3,0,0
0.333,0,0,0,1,0,0
0.499,0,0,0,2.97,0.99,0
0.333,0,0,0,2.02,0,0
0.5,0,0,0,2,0,0.99
0.167,0,0,0,2,0,0
0.333,0,0,0,2,0,0
0.333,0,0,0,1.98,0,0
0.667,1,0,0.99,1.02,0,0
0.334,0,0,0.99,1.98,0.99,0
0.333,0,0,0,2,0,0
0.167,0,0,0,1.01,0,0
0.666,0,0,0,2.97,0,0
0.334,0,0,0,2.02,0,0
0.333,0,0,0,2.941,0,0
0.333,0,0,0,1.01,0,0
0.333,0,0,0,2,0,0
0.5,0,0,0,3,0,0
0.333,0,0,0,1.98,0,0
0.333,0,0,0,1.01,0,0.99
0.333,0,0,0,2,0,0
0.333,0,0,0,1,0,0
0.334,0,0,0,2,0,0
0.167,0,0,0,1,0,0
0.498,0,0,0,1.01,0,0
0.666,0.99,0,0,3.96,0,0.99
0.333,0,0,0,1.98,0,0
0.167,0,0,0,2,0,0
0.333,0,0,0,2,0,0
0.333,0,0,0,1.01,0,0
0.333,0,0,0,2,0,0.99
0.5,0,0,0,2.97,0.99,0
0.333,0,0,0,2,0,0
0.333,0,0,0,1,0,0
0.499,0,0.99,0,2.97,0,0
0.167,0,0.99,0,2,0,0
0.5,0,0,0,2.02,0,0
0.5,0,0,0,1.98,0,0.99
0.5,0,0,0,3,0,0
0.333,0,0,0,1.01,0,0
0.5,0,0.99,0,2.97,0,0
0.499,0,0,0,2,0,0
0.333,0,0,0,1.98,0,0
0.1,0,0,0,0,0,0
0.167,0,0,0,1.98,0,0
0.333,0,0,0,2,0,0
0.499,0,0,0,1.01,0,0
0.1,0,0,0,1.98,0,0
